lemma,upos,verb_form,case_counts,example_wordform,count
в,ADP,,,в,2405
и,CCONJ,,,и,2335
на,ADP,,,на,1202
не,PART,,,не,1118
с,ADP,,,с,930
а,CCONJ,,,а,870
я,PRON,,Acc:51|Dat:131|Gen:79|Ins:3|Loc:3|Nom:555,меня,822
что,SCONJ,,,что,560
по,ADP,,,по,469
год,NOUN,,Acc:69|Dat:4|Gen:197|Ins:5|Loc:135|Nom:9,годы,419
но,CCONJ,,,но,395
к,ADP,,,к,373
у,ADP,,,у,352
это,PRON,,Acc:32|Dat:4|Gen:33|Ins:5|Loc:64|Nom:176,это,350
от,ADP,,,от,331
или,CCONJ,,,или,323
который,PRON,,Acc:86|Dat:19|Gen:38|Ins:16|Loc:33|Nom:127,которые,319
он,PRON,,Acc:95|Dat:46|Gen:23|Ins:11|Loc:16|Nom:126,Он,317
для,ADP,,,для,301
за,ADP,,,за,299
то,PRON,,Acc:36|Dat:11|Gen:91|Ins:41|Loc:72|Nom:44,то,295
о,ADP,,,об,295
быть,AUX,Fin,,было,289
из,ADP,,,из,276
мочь,VERB,Fin,,может,257
все,PRON,,Acc:43|Dat:19|Gen:70|Ins:3|Nom:112,все,247
как,SCONJ,,,как,246
человек,NOUN,,Acc:16|Dat:24|Gen:107|Ins:15|Loc:1|Nom:82,людей,245
этот,DET,,Acc:73|Dat:8|Gen:56|Ins:7|Loc:26|Nom:70,этой,240
что,PRON,,Acc:81|Dat:4|Gen:18|Ins:20|Loc:12|Nom:98,что,233
они,PRON,,Acc:76|Dat:10|Gen:36|Ins:17|Loc:19|Nom:71,ними,229
один,NUM,,Acc:40|Dat:19|Gen:38|Ins:27|Loc:19|Nom:84,одной,227
мы,PRON,,Acc:9|Dat:14|Gen:44|Ins:5|Nom:141,нам,213
и,PART,,,и,211
она,PRON,,Acc:43|Dat:30|Gen:24|Ins:4|Loc:10|Nom:90,её,201
до,ADP,,,до,197
день,NOUN,,Acc:72|Dat:2|Gen:59|Ins:15|Nom:48,день,196
другой,ADJ,,Acc:26|Dat:13|Gen:38|Ins:14|Loc:24|Nom:74,другой,189
если,SCONJ,,,Если,186
сам,ADJ,,Acc:12|Dat:9|Gen:25|Ins:3|Loc:1|Nom:128,самому,178
время,NOUN,,Acc:85|Dat:3|Gen:40|Ins:29|Loc:1|Nom:12,время,171
ещё,ADV,,,ещё,170
только,PART,,,только,167
так,ADV,,,так,167
первый,ADJ,,Acc:52|Dat:7|Gen:27|Ins:21|Loc:13|Nom:45,Первая,165
много,NUM,,,многие,164
уже,ADV,,,уже,158
как,ADV,,,как,153
весь,DET,,Acc:61|Dat:12|Gen:25|Ins:5|Loc:5|Nom:43,весь,151
когда,SCONJ,,,когда,149
такой,DET,,Acc:23|Dat:4|Gen:43|Ins:5|Loc:10|Nom:62,такого,147
поэтому,ADV,,,поэтому,146
быть,VERB,Fin,,было,145
работа,NOUN,,Acc:42|Dat:6|Gen:44|Ins:4|Loc:20|Nom:28,работа,144
можно,ADV,,,можно,143
тот,DET,,Acc:38|Dat:7|Gen:43|Ins:9|Loc:22|Nom:21,том,140
при,ADP,,,При,139
новый,ADJ,,Acc:47|Dat:7|Gen:32|Ins:6|Loc:11|Nom:34,новые,137
себя,PRON,,Acc:53|Dat:39|Gen:10|Ins:28|Loc:5,себя,135
после,ADP,,,После,133
свой,DET,,Acc:44|Dat:8|Gen:23|Ins:16|Loc:13|Nom:27,своей,131
вопрос,NOUN,,Acc:33|Dat:12|Gen:14|Ins:8|Loc:4|Nom:54,Вопрос,125
чтобы,SCONJ,,,чтобы,125
стать,VERB,Fin,,станут,124
каждый,DET,,Acc:49|Dat:8|Gen:23|Ins:3|Loc:12|Nom:27,Каждое,122
страна,NOUN,,Acc:5|Dat:11|Gen:51|Ins:8|Loc:35|Nom:10,странах,120
потом,ADV,,,потом,119
два,NUM,,Acc:51|Gen:17|Ins:5|Loc:5|Nom:40,две,118
разный,ADJ,,Acc:15|Dat:5|Gen:28|Ins:9|Loc:32|Nom:28,разные,117
раз,NOUN,,Acc:85|Gen:25|Nom:2|Par:3,раз,115
почти,ADV,,,почти,114
через,ADP,,,через,114
ты,PRON,,Acc:8|Dat:27|Gen:7|Ins:3|Nom:64,ты,109
город,NOUN,,Acc:20|Dat:6|Gen:20|Ins:5|Loc:29|Nom:28,городах,108
без,ADP,,,без,108
вечер,NOUN,,Acc:14|Dat:21|Gen:23|Ins:37|Loc:1|Nom:11,вечера,107
хороший,ADJ,,Acc:2|Dat:1|Gen:3|Ins:2|Loc:1|Nom:16,хорошим,107
вы,PRON,,Acc:5|Dat:24|Gen:20|Ins:6|Loc:2|Nom:50,вы,107
же,PART,,,же,104
чем,SCONJ,,,чем,104
часто,ADV,,,часто,104
часть,NOUN,,Acc:29|Gen:19|Ins:14|Loc:7|Nom:32,частью,101
нужный,ADJ,,Acc:2|Gen:2|Ins:1,нужно,101
ли,PART,,,ли,100
обычно,ADV,,,обычно,100
где,ADV,,,где,99
просто,PART,,,просто,97
место,NOUN,,Acc:16|Dat:4|Gen:21|Ins:8|Loc:29|Nom:19,месте,97
бы,AUX,,,бы,96
самый,ADJ,,Acc:4|Dat:2|Gen:25|Ins:6|Loc:20|Nom:35,Самое,92
казаться,VERB,Fin,,кажется,92
несколько,NUM,,Acc:55|Dat:1|Gen:12|Ins:2|Loc:5|Nom:17,нескольких,92
конкретный,ADJ,,Acc:17|Dat:5|Gen:41|Ins:2|Loc:14|Nom:11,конкретного,91
под,ADP,,,под,91
