lemma,upos,lexical_class
qr-код,NOUN,everyday
а,CCONJ,general
а,INTJ,general
аббревиатура,NOUN,general
абзац,NOUN,specialized
абитуриент,NOUN,general
абонемент,NOUN,specialized
абонентский,ADJ,everyday
абсолютно,ADV,general
абсолютный,ADJ,general
абстрактный,ADJ,specialized
авангард,NOUN,specialized
аварийка,NOUN,everyday
аварийный,ADJ,everyday
авария,NOUN,general
август,NOUN,general
авиаперелёт,NOUN,specialized
австралия,PROPN,general
автобус,NOUN,everyday
автобусный,ADJ,everyday
автовокзал,NOUN,everyday
автодром,NOUN,everyday
автокатастрофа,NOUN,specialized
автомат,NOUN,general
автоматизация,NOUN,general
автоматизировать,VERB,general
автоматически,ADV,general
автоматический,ADJ,general
автомобиль,NOUN,general
автомобильный,ADJ,general
автономия,NOUN,specialized
автономность,NOUN,specialized
автономный,ADJ,everyday
автор,NOUN,general
авторитет,NOUN,general
авторский,ADJ,general
авторство,NOUN,general
автошкола,NOUN,everyday
агата,PROPN,everyday
агент,NOUN,general
агентство,NOUN,general
агностицизм,NOUN,specialized
агрегатный,ADJ,specialized
адаптация,NOUN,general
адаптировать,VERB,specialized
адаптироваться,VERB,specialized
административный,ADJ,specialized
администратор,NOUN,general
администрация,NOUN,general
адрес,NOUN,everyday
адресат,NOUN,everyday
адресный,ADJ,general
азбука,NOUN,specialized
азия,PROPN,specialized
азовский,ADJ,everyday
айтишник,NOUN,general
академический,ADJ,general
аквариум,NOUN,specialized
аккаунт,NOUN,general
аккорд,NOUN,everyday
аккумулятор,NOUN,general
аккумуляторный,ADJ,everyday
аккуратно,ADV,everyday
аккуратный,ADJ,general
акробат,NOUN,everyday
аксессуар,NOUN,everyday
акт,NOUN,everyday
актив,NOUN,general
активация,NOUN,specialized
активно,ADV,general
активность,NOUN,general
активный,ADJ,general
актовый,ADJ,general
актор,NOUN,specialized
актриса,NOUN,everyday
актуальность,NOUN,general
актуальный,ADJ,general
актёр,NOUN,specialized
актёрский,ADJ,general
акустика,NOUN,specialized
акцент,NOUN,general
акция,NOUN,general
алгебра,NOUN,general
алгоритм,NOUN,specialized
александр,PROPN,general
алексей,PROPN,general
алиса,PROPN,everyday
алкоголь,NOUN,everyday
аллергия,NOUN,general
аллерголог,NOUN,general
алло,INTJ,everyday
алфавит,NOUN,specialized
алфавитный,ADJ,specialized
альбом,NOUN,general
альмагест,PROPN,specialized
альпийский,ADJ,everyday
альпы,PROPN,specialized
альтернатива,NOUN,everyday
альтернативный,ADJ,general
аляска,PROPN,everyday
амазонка,PROPN,specialized
америка,PROPN,general
американский,ADJ,general
аминогруппа,NOUN,specialized
аминокислота,NOUN,specialized
амурский,ADJ,everyday
анализ,NOUN,general
аналитик,NOUN,general
аналог,NOUN,general
аналогичный,ADJ,everyday
аналогия,NOUN,specialized
анастасия,PROPN,everyday
ангел,NOUN,everyday
английский,ADJ,general
англицизм,NOUN,specialized
андреевна,PROPN,everyday
андрей,PROPN,everyday
анды,PROPN,specialized
анекдот,NOUN,everyday
аниматор,NOUN,everyday
анимация,NOUN,specialized
аниме,NOUN,general
анисифор,PROPN,everyday
анкета,NOUN,general
анна,PROPN,general
ансамбль,NOUN,specialized
антарктика,PROPN,everyday
антибиотик,NOUN,general
антикафе,NOUN,everyday
античный,ADJ,specialized
антоновка,NOUN,everyday
антоновка,PROPN,everyday
антракт,NOUN,everyday
антресоль,NOUN,everyday
антрополог,NOUN,specialized
антропология,NOUN,specialized
аня,PROPN,everyday
апелляционный,ADJ,general
апельсин,NOUN,everyday
аплодировать,VERB,specialized
аплодисменты,NOUN,general
аполлон,PROPN,specialized
аппарат,NOUN,general
апрель,NOUN,general
аптека,NOUN,everyday
аптечка,NOUN,everyday
арабский,ADJ,general
арбитр,NOUN,everyday
аргентина,PROPN,general
аргентинец,NOUN,general
аргумент,NOUN,general
аргументировать,VERB,general
арена,NOUN,general
аренда,NOUN,general
арендный,ADJ,everyday
арест,NOUN,general
аристотель,PROPN,specialized
арифметический,ADJ,general
арка,NOUN,everyday
аркадий,PROPN,everyday
арктика,PROPN,everyday
армия,NOUN,general
аромат,NOUN,general
ароматный,ADJ,everyday
артель,NOUN,specialized
артист,NOUN,general
артистизм,NOUN,everyday
археолог,NOUN,specialized
археологический,ADJ,specialized
археология,NOUN,specialized
архетипический,ADJ,specialized
архимед,PROPN,specialized
архитектура,NOUN,specialized
аскет,NOUN,general
